is_scraping,car_model_designation_no,classification_no,car_name,car_model_name,youshiki,vin_start,vin_end,model_from,model_to,catalog_name,parts_code
False,18096,0006,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,48110 34101
False,18096,0604,4V:ENE-N,MR31S,MR31S,100001,110000,201310,no_data,MR31S,85108 87108 87307 86401
False,18096,0604,4V:エネナシ,MR31S,MR31S,110001,200000,201509,no_data,MR31S-2,84502 34101 87307 84510 86401 87305 87308 84702 39510 87107 84701 87105 85180 84521 84501 85107 85108 87108 71741
False,18096,0606,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,34101
False,18098,0602,ラパン,HE33S,HE33S,100001,no_data,201503,no_data,HE33S,71811 84701 41602 85180 84702 87380 87101 71711 33680 84510 86401
False,18098,0602,ラパン,HE33S,HE33S,100003,no_data,201903,no_data,HE33S-2,71811 84701 84702 87101 87380
False,18296,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,74410 72140 85302 83502 84510 68003 83950 71811 68001 46500 84740 43250 45810 87101 84910 83940 44102 95310 85102 48150 74100 84541 95200 48500 83401 58600 95411 72112 69100 89101
False,18296,0003,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85102 87106 85101 85180 85301 85302 87380 87180 84510
False,18296,0004,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85302 71811 85102 85101 85180 85301 87380 83940 71711 87180
False,18296,0601,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85102 84730 41602 46510 41810 84740 85302 44101 89101 41601
False,18296,0603,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85102 85302
False,18297,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,74140 83980 74150 74100 85103 83401 89101 57300 84575
False,18454,0002,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,71811 34102 36710 95200 74100 33990 95411 71711 38880
False,18455,0602,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,34103 38880
False,18457,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,71721 85302 68002 34100 68003 68001 46500 45202 84710 43401 43250 87180 45151 74100 45111 48500 41810 55102 35670 35650 85180 71740 57611 69100 71741 89101
False,18457,0002,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85302 46500 39970 55402 43210 33990 71740 84710 85301 57611 37210 84720 69100 55401 48110 34100 71741 84510
False,18457,0003,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85102 71722 83900 41810 33990 43210 71740 85180 85301 87180 85302 48110 86401
False,18457,0004,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,44101 34100 44102 38880
False,18457,0005,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,34103 34100 33990
False,18458,0601,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,34101 44111 85102 44106 46500 84730 84740 84710 55102 43402 84720 44101 89101 44105 38880
False,18458,0602,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,34103 34101 84720 84710
False,18460,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,74150 35320 55120 55311 68001 74100 87106 55402 68701 35603 85103 83940 56110 83440 69100 38860 71741 95410
False,18703,0003,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,57711 84920 87308 85180 85301 87307 57611 72110 85107 85108 84910 85302 87108 87107 86401
False,18703,0603,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,48110 85108
False,19041,0024,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,71811 87308 71740 85301 87307 85108 85107 87108 85302 71711 87107 86401
False,19177,0003,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85102 85101 85180 85301 85302 87380 87180
False,19386,0004,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85108 85107 85301 85302
False,19386,0005,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,84710 84720
False,19391,0000,トクソウ,MH85S,MH85S,100002,999999,201911,no_data,MH85S2T,58300 83980 68004 84502 84504 85303 71721 84710 83402 68002 84503
False,19508,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,74100 34100 95411 38880
False,19509,0601,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,34100 38880
False,19510,0002,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85301 34100 33990 38880
False,19510,0005,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85301 33990
False,19511,0602,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,85102 84730 84740 84710 84720 85302 34100 38880
False,19512,0002,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,71811 85102 85101 85180 84710 33990 43210 71740 85301 87180 87380 84720 85302 71711 48110 34100
False,19512,0005,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,45201 57711 41602 45202 48500 33990 84710 85101 85301 57611 84720 85302 87380 87180 41601
False,19661,0001,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,71811 84701 84702 39510 71711
False,19661,0002,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,87380 71811 84702 84701
False,19661,0003,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,87380 84701 71722 84702
False,19661,0601,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,84701 84702
False,19661,0602,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,84701 84702
False,19661,0603,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,84701 84702
