品番,統一先品番,FIGNo,FIGSai,Ref,品名,希望小売価格,互換
87301-81A10-L2R,,871,M,12,"バックアッシ,リヤシート,ライト","32,000",
87307-81A20-L2R,,871,M,13,"トリムアッシ,リヤバック,ライト","20,500",
87302-81A10-L2R,,871,M,25,"バックアッシ,リヤシート,レフト","32,000",
87308-81A20-L2R,,871,M,26,"トリムアッシ,リヤバック,レフト","20,500",
13110-81AA0,,131,K,1,"マニホールド,インテーク","43,100",
13400-81AA0,,134,H,1,"ボディアッシ,スロットル","83,900",
14190-81AA0,,143,H,1,"パイプ,エキゾースト","57,100",
33920-81A84,,337,B,15,"コントローラ,インジェクション/エアコン","63,900",
34100-81AD0,,341,L,1,"スピードメータアッシ,コンビネーション","44,700",
34100-81A20,,341,L,1,"スピードメータアッシ,コンビネーション","56,500",
34120-81A10,,341,L,2,"ボディアッシ,スピードメータ","15,100",
34120-81A80,,341,L,2,"ボディアッシ,スピードメータ","19,300",
48110-78G50-T01,,481,S,1,"ホイールアッシ,ステアリング(グレー)","29,600",
48110-78G80-BP7,,481,S,1,"ホイールアッシ,ステアリング","70,900",
48150-81A10-T01,,481,S,2,"モジュールアッシ,エアバッグ(グレー)","102,000",
48150-81A10-5PK,,481,S,2,"モジュールアッシ,エアバッグ(ブラック)","92,300",
71711-81AA1-W07,,717,F,1,"バンパ,フロント(ブラック)","47,900",
71711-81AA1-799,,717,F,1,"バンパ,フロント(プライマリー)","45,600",
71811-81AA0-W07,71811-81AA2-W07,718,F,1,"バンパ,リヤ(ブラック)","45,300",21.0
71811-81AA0-799,71811-81AA2-799,718,F,1,"バンパ,リヤ(プライマリー)","45,600",21.0
84901-81A51-L8Z,,849,G,1,"ベルトアッシ,フロント,ライト(グレー)","34,700",
85101-81A10-BN8,,851,L,1,"クッションアッシ,フロントシート","28,500",
85101-81A10-L2R,85101-81A12-L2R,851,L,1,"クッションアッシ,フロント","117,000",11.0
85301-81A10-BN8,,851,L,10,"バックアッシ,フロントシート","35,200",
85301-81A10-L2R,,851,L,10,"バックアッシ,フロントシート,レフト","66,400",
86401-76F50-P1U,,851,L,14,ヘッドレストレイントアッシ(オレンジ),"12,000",
86401-76F50-V31,,851,L,14,ヘッドレストレイントアッシ(グレー),"8,900",
85107-81A10-BN8,,851,L,2,"トリムアッシ,フロントクッション","29,900",
85107-81A10-L2R,,851,L,2,"トリムアッシ,フロントクッション","31,400",
85301-81AP0-BN8,,851,L,3,"バックアッシ,フロントシート","42,600",
85301-81AP0-L2R,,851,L,3,"バックアッシ,フロントシート,ライト","44,800",
87101-81A11-L2R,,871,M,1,"クッションアッシ,リヤシート","48,900",
87101-81A11-P1U,,871,M,1,"クッションアッシ,リヤシート(オレンジ)","30,700",
87301-81AB0-L2R,,871,M,12,"バックアッシ,リヤシート,ライト","45,100",
87301-81AB0-P1U,,871,M,12,"バックアッシ,リヤシート,ライト(オレンジ)","34,000",
87307-81A30-L2R,,871,M,13,"トリムアッシ,リヤバック,ライト","21,200",
87307-81A30-P1U,,871,M,13,"トリムアッシ,リヤバック,ライト(オレンジ)","19,700",
87107-81A10-L2R,,871,M,2,"トリムアッシ,リヤクッション","22,500",
87107-81A10-P1U,,871,M,2,"トリムアッシ,リヤクッション(オレンジ)","18,600",
87302-81AB0-L2R,,871,M,25,"バックアッシ,リヤシート,レフト","45,100",
87302-81AB0-P1U,,871,M,25,"バックアッシ,リヤシート,レフト(オレンジ)","34,000",
87308-81A30-L2R,,871,M,26,"トリムアッシ,リヤバック,レフト","23,900",
87308-81A30-P1U,,871,M,26,"トリムアッシ,リヤバック,レフト(オレンジ)","19,700",
86401-76F50-P1U,,871,M,38,ヘッドレストレイントアッシ(オレンジ),"12,000",
86401-76F50-V31,,871,M,38,ヘッドレストレイントアッシ(グレー),"8,900",
27101-81A10,,271,G,1,"シャフトアッシ,プロペラNO.1","53,500",
33920-81AE5,,337,B,15,"コントローラアッシ,EPIーAC","76,600",
34100-81AF0,,341,L,1,"スピードメータアッシ,コンビネーション","48,100",
34100-81A30,,341,L,1,"スピードメータアッシ,コンビネーション","60,900",
34120-81A10,,341,L,2,"ボディアッシ,スピードメータ","15,100",
34120-81A90,,341,L,2,"ボディアッシ,スピードメータ","19,300",
86401-76G00-DC8,,851,J,11,ヘッドレストレイントアッシ,"8,300",
85180-81AJ0-DC8,,851,J,2,"トリム,フロントクッション","18,000",
86401-76G00-V31,,851,K,14,ヘッドレストレイントアッシ(グレー),"8,900",
87101-81AJ0-DC8,,871,L,1,"クッションアッシ,リヤシート","34,400",
87180-81AJ0-DC8,,871,L,2,"トリム,リヤクッション","19,900",
87380-81AJ0-DC8,,871,L,8,"トリム,リヤバック,ライト","20,200",
87101-81A11-L2R,,871,M,1,"クッションアッシ,リヤシート","48,900",
27450-81A80,,273,G,10,"キャリアアッシ,ディファレンシャル","24,500",
29331-81A00,,283,H,18,"シャフト,シフトフォーク","5,250",
27450-60830,,292,H,9,"キャリアアッシ,ディファレンシャル","18,000",
38860-72G00,,337,B,18,リレーアッシ,"4,200",
38885-81A00,,339,G,27,"コントローラアッシ,4WDシフト","15,600",
33940-81A20,,339,G,29,"コントローラアッシ,ABS","183,000",
38860-50G20,,339,G,33,"リレーアッシ,ABSモータ","12,400",
38860-72G00,,339,G,46,リレーアッシ,"4,200",
35500-74F30,,352,E,1,"ランプアッシ,フォグ","23,700",
38860-60G00,,366,J,18,リレーアッシ,"4,200",
38860-76F01,,366,J,18,リレーアッシ,"1,800",
41600-81A01,41600-81AB0,416,G,15,"アブソーバアッシ,フロントショック","9,100",21.0
41700-81A01,41700-81A02,430,G,16,"アブソーバアッシ,リヤショック","8,450",21.0
43200-81810-27S,43200-81870-27S,432,B,2,"ホイール,アルミ(16X51/2JJ)(シルバー)","46,900",21.0
43200-81811-27S,,432,B,2,"ホイール,アルミ(16X51/2JJ)(シルバー)","29,000",
44101-81A80,44101-77R00,441,K,1,"ジョイントアッシ,フロントアクスルシャフト,ライト","40,100",21.0
43810-82CB2,43810-82CB4,441,K,17,"ハブアッシ,エアロッキング","45,600",21.0
44102-81A80,44102-77R00,441,K,2,"ジョイントアッシ,フロントアクスルシャフト,レフト","43,200",21.0
43420-50860,,441,K,7,"ハブセット,フロントホイール","23,400",
46510-81A10,46510-81A11,464,G,2,"ハウジング,リヤアクスル","102,000",3.0
　,09135-12003,464,G,2,ボルト(12X71),180,
46510-81A11,,464,G,2,"ハウジング,リヤアクスル","102,000",
56100-81A00,,561,F,1,"アクチュエータアッシ,ABS","147,000",
74400-81A40,,741,L,27,"レバーアッシ,ヒータコントロール","12,100",
84701-81A11-5PK,,847,G,1,"ミラーアッシ,リヤビュー,ライト(ブラック)","49,300",
84702-81A11-5PK,,847,G,2,"ミラーアッシ,リヤビュー,レフト(ブラック)","57,200",
84704-81A00-5PK,,847,G,8,"ミラーアッシ,アンダビュー(ブラック)","21,300",
85101-81A10-L2R,85101-81A12-L2R,851,L,1,"クッションアッシ,フロント","117,000",11.0
85301-81A10-L2R,,851,L,10,"バックアッシ,フロントシート,レフト","66,400",
86401-76F50-V31,,851,L,14,ヘッドレストレイントアッシ(グレー),"8,900",
85107-81A10-L2R,,851,L,2,"トリムアッシ,フロントクッション","31,400",
85301-81AP0-L2R,,851,L,3,"バックアッシ,フロントシート,ライト","44,800",
87101-81A11-L2R,,871,M,1,"クッションアッシ,リヤシート","48,900",
87301-81AB0-L2R,,871,M,12,"バックアッシ,リヤシート,ライト","45,100",
87307-81A30-L2R,,871,M,13,"トリムアッシ,リヤバック,ライト","21,200",
87107-81A10-L2R,,871,M,2,"トリムアッシ,リヤクッション","22,500",
87302-81AB0-L2R,,871,M,25,"バックアッシ,リヤシート,レフト","45,100",
87308-81A30-L2R,,871,M,26,"トリムアッシ,リヤバック,レフト","23,900",
86401-76F50-V31,,871,M,38,ヘッドレストレイントアッシ(グレー),"8,900",
38860-72G00,,950,B,27,リレーアッシ,"4,200",
34100-81AP0,,341,M,1,"スピードメータアッシ,コンビネーション","51,700",
34101-81AM0,,341,M,1,"スピードメータアッシ,コンビネーション","52,600",
34120-81AA0,,341,M,2,"ボディアッシ,スピードメータ","32,600",
34120-81AP0,,341,M,2,"ボディアッシ,スピードメータ","19,500",
39101-76G70,,391,H,1,"チューナアッシ,AM/FMカセット","26,000",
39101-78A50,,391,H,2,"チューナ,AM/FMCDMDカセット","78,000",
39101-78A70,,391,H,3,"チューナ,AM/FMCDMDカセット","78,000",
39101-81A10,,391,H,4,"チューナアッシ,AM/FMCDMD","57,000",
84701-81A11-ZA5,,847,G,1,"ミラーアッシ,リヤビュー,ライト(ホワイト)","60,200",
84701-81A11-Z2J,,847,G,1,"ミラーアッシ,リヤビュー,ライト(ブルー)","28,500",
84701-81A11-Z2T,,847,G,1,"ミラーアッシ,リヤビュー,ライト(グリーン)","58,900",
84701-81A11-Z5K,,847,G,1,"ミラーアッシ,リヤビュー,ライト(レッド)","41,400",
84701-81A11-5PK,,847,G,1,"ミラーアッシ,リヤビュー,ライト(ブラック)","49,300",
84701-81A41-ZA5,,847,G,1,"ミラーアッシ,リヤビュー,ライト(ホワイト)","25,100",
84701-81A41-Z2U,,847,G,1,"ミラーアッシ,リヤビュー,ライト(ブルー)","39,300",
84702-81A11-ZA5,,847,G,2,"ミラーアッシ,リヤビュー,レフト(ホワイト)","45,100",
84702-81A11-Z2J,,847,G,2,"ミラーアッシ,リヤビュー,レフト(ブルー)","45,600",
84702-81A11-Z2T,,847,G,2,"ミラーアッシ,リヤビュー,レフト(グリーン)","36,400",
84702-81A11-Z5K,,847,G,2,"ミラーアッシ,リヤビュー,レフト(レッド)","34,200",
84702-81A11-5PK,,847,G,2,"ミラーアッシ,リヤビュー,レフト(ブラック)","57,200",
84702-81A41-ZA5,,847,G,2,"ミラーアッシ,リヤビュー,レフト(ホワイト)","40,300",
84702-81A41-Z2U,,847,G,2,"ミラーアッシ,リヤビュー,レフト(ブルー)","33,300",
34100-81AR0,,341,M,1,"スピードメータアッシ,コンビネーション","98,100",
34101-81AP0,,341,M,1,"スピードメータアッシ,コンビネーション","65,300",
34120-81AE0,,341,M,2,"ボディアッシ,スピードメータ","16,700",
34120-81AR0,,341,M,2,"ボディアッシ,スピードメータ","38,000",
20002-81AK1,,200,G,1,"トランスミッションアッシ,オートマチック","366,000",
20002-81AK1-111,,200,G,1,"トランスミッションアッシ,オートマチック","183,000",
33921-81AB1,,337,B,16,"コントローラアッシ,インジェクション/エアコン","114,000",
33921-81A91,,337,B,16,"コントローラアッシ,インジェクションエアコン","185,000",
38880-81AB0,,339,G,45,"コントローラアッシ,4AT","79,400",
34101-81AS0,,341,M,1,"スピードメータアッシ,コンビネーション","50,600",
34120-81AE0,,341,M,2,"ボディアッシ,スピードメータ","16,700",
34120-81AG0,,341,M,2,"ボディアッシ,スピードメータ","15,100",
17700-81AB0,,177,M,1,ラジエータアッシ,"94,000",
17700-81A11,,177,M,1,ラジエータアッシ,"117,000",
20002-81AH1,,200,G,1,"トランスミッションアッシ,オートマチック",0,
20002-81AH1-111,,200,G,1,"トランスミッションアッシ,オートマチック","183,000",
20002-81AH7,,200,G,1,"トランスミッションアッシ,オートマチック","366,000",
20002-81AH7-111,,200,G,1,"トランスミッションアッシ,オートマチック","183,000",
24710-81A10,,202,F,1,"ケースアッシ,トランスミッション","45,300",
24710-81A11,,202,F,1,"ケースアッシ,トランスミッション","59,000",
27101-81A50,,271,G,1,"シャフトアッシ,プロペラN0.1",0,
33920-81AH1,,337,B,15,"コントローラ,インジェクション/エアコン","72,900",
38880-81A21,,339,G,50,"コントローラアッシ,4AT","107,000",
38880-81A22,,339,G,50,"コントローラアッシ,4AT","107,000",
34100-81AM0,,341,M,1,"スピードメータアッシ,コンビネーション","60,900",
34120-81AE0,,341,M,2,"ボディアッシ,スピードメータ","16,700",
37400-81A72,37400-81A73,339,G,4,"スイッチアッシ,コンビネーション","53,300",21.0
37430-76G00,,339,G,54,"スイッチアッシ,ハザードウォーニング","7,000",
27101-81A50,,271,G,1,"シャフトアッシ,プロペラN0.1",0,
27101-81A51,,271,G,1,"シャフトアッシ,プロペラN0.1","25,600",
18213-80A11,,141,L,12,"センサアッシ,オキシジェン","23,900",
14300-81A11,14300-81A12,143,K,11,マフラ,"55,700",21.0
24700-81A62,,225,K,1,"ケースアッシ,トランスミッション","43,400",
35501-81A12,,352,E,1,"ランプアッシ,フォグ,ライト","43,800",
35502-81A12,,352,E,2,"ランプアッシ,フォグ,レフト","43,800",
36740-65D00,,366,K,47,"ボックスアッシ,メインフューズ","9,550",
39101-81A30,,391,J,1,"チューナアッシ,AM/FMカセット",0,
48110-75F01-P4Z,,481,Q,1,"ホイールアッシ,ステアリング(グレー)","35,600",
48150-81A50-P4Z,,481,Q,2,"モジュールアッシ,エアバッグ(グレー)","52,100",
72111-81A10-5PK,,717,G,13,"ガーニッシュ,フロントセンタ(ブラック)","2,600",
85101-81A10-JC5,,851,L,1,"クッションアッシ,フロントシート","28,500",
85107-81A10-JC5,,851,L,2,"トリムアッシ,フロントクッション","21,000",
85301-81A10-JC5,,851,L,3,"バックアッシ,フロントシート","33,500",
86401-81A60-P9Y,,851,L,7,ヘッドレストレイントアッシ(ブルー),"9,700",
87101-81A11-JC5,,871,K,1,"クッションアッシ,リヤシート","31,500",
87301-81A60-JC5,,871,K,12,"バックアッシ,リヤシート,ライト","33,500",
87307-81A60-JC5,,871,K,13,"トリムアッシ,リヤバック,ライト","21,100",
87107-81A10-JC5,,871,K,2,"トリムアッシ,リヤクッション","20,000",
87302-81A60-JC5,,871,K,30,"バックアッシ,リヤシート,レフト","33,500",
87308-81A60-JC5,,871,K,31,"トリムアッシ,リヤバック,レフト","21,100",
86401-55G60-P9Y,,871,K,48,ヘッドレストレイントアッシ(ブルー),"7,400",
95400-81814,,950,C,22,クーリングユニット,"18,000",
95400-81814,,954,H,1,クーリングユニット,"18,000",
14140-69G00,14140-69G02,114,K,6,"ガスケット,エキゾーストマニホールド","1,600",21.0
13110-54D00,13110-54D04,131,L,1,"マニホールド,インテーク","44,700",3.0
　,18564-80G02,131,L,1,"ホース,キャニスタパージNO.3","1,500",
　,09401-11419,131,L,1,クリップ,120,
13110-54D02,13110-54D04,131,L,1,"マニホールド,インテーク","44,700",21.0
13400-69G01,13400-69G02,134,J,1,"ボディアッシ,スロットル","75,600",21.0
14110-80A20,,141,L,1,"マニホールド,エキゾースト","64,000",
18213-80A00,18213-80A01,141,L,11,"センサアッシ,オキシジェン","23,800",21.0
18213-80A10,18213-80A11,141,L,11,"センサアッシ,オキシジェン","23,900",21.0
14140-69G00,14140-69G02,141,L,2,"ガスケット,エキゾーストマニホールド","1,600",21.0
14190-80A30,,143,K,1,"パイプ,エキゾースト","55,700",
14300-81A10,14300-81A12,143,K,11,マフラ,"55,700",21.0
15100-81811,15100-81813,151,K,1,"ポンプセット,フューエル","68,000",21.0
24700-81A61,,225,K,1,"ケースアッシ,トランスミッション","33,300",
27101-81A21,,271,H,1,"シャフトアッシ,プロペラN0.1","25,600",
27450-81A22,,273,H,10,"キャリアアッシ,ディファレンシャル","24,500",
27450-60830,,292,J,9,"キャリアアッシ,ディファレンシャル","18,000",
31100-80G10,31100-63J01,311,N,1,"モータアッシ,スターティング","68,500",21.0
31400-66D10,,314,L,1,ジェネレータアッシ,"62,200",
31400-80G10,31400-80G12,314,M,1,ジェネレータアッシ,"78,300",21.0
31100-80G10,31100-63J01,337,C,1,"モータアッシ,スターティング","68,500",21.0
33410-66D00,33410-66D01,337,C,17,"コイルアッシ,イグニツシヨン","21,200",21.0
33920-81AK0,,337,C,22,"コントローラ,インジェクション/エアコン","91,500",
33921-81AK1,,337,C,22,"コントローラアッシ,インジェクション/エアコン","144,000",
38880-81AA1,,337,C,28,"コントローラアッシ,4AT","70,400",
31400-66D10,,337,C,4,ジェネレータアッシ,"62,200",
31400-80G10,31400-80G12,337,C,4,ジェネレータアッシ,"78,300",21.0
38885-82C00,,339,H,28,"コントローラアッシ,4WD","15,200",
34100-81AU0,,341,N,1,"スピードメータアッシ,コンビネーション","47,000",
34120-81AJ0,,341,N,2,"ボディアッシ,スピードメータ","14,700",
35120-81A00,,355,H,1,"ユニット,ヘッドランプ,ライト","25,100",
35320-81A00,,355,H,2,"ユニット,ヘッドランプ,レフト","25,100",
35650-81A10,35650-81A11,356,G,1,"ランプユニット,リヤコンビネーション,ライト","7,050",21.0
35670-81A10,35670-81A11,356,G,2,"ランプユニット,リヤコンビネーション,レフト","7,050",21.0
36740-77E10,,366,K,49,"ボックスアッシ,メインフューズ","6,900",
83900-60820,,371,J,8,"キーアッシ,スペアタイヤナットロック","14,200",
39101-65D50,,391,J,1,"チューナアッシ,AM/FMカセット","26,000",
43200-61871-27S,,432,L,2,"ホイールセット,アルミ(15X5.5JJ)(シルバー)","24,700",
44101-81A00,,441,H,1,"ジョイントアッシ,フロントアクスルシャフト,ライト","86,900",
44102-81A00,,441,H,2,"ジョイントアッシ,フロントアクスルシャフト,レフト","117,000",
46510-81A32,46510-84A30,464,H,2,"ハウジング,リヤアクスル","72,000",21.0
48110-75F01-T01,48110-75F02-T01,481,Q,1,"ホイールアッシ,ステアリング(グレー)","60,000",21.0
48150-81A01-T01,,481,Q,2,"モジュールアッシ,エアバッグ(グレー)","79,100",
48600-81A30,,485,K,1,"ボックスアッシ,パワーステアリングギヤ","119,000",
58300-81880,58300-81883,573,E,1,"パネルアッシ,フロントフード","79,700",21.0
83900-60820,,691,H,19,"キーアッシ,スペアタイヤナットロック","14,200",
71711-81A20-799,71711-81A50-799,717,G,1,"バンパ,フロント(プライマリー)","64,500",11.0
71717-81A00,71717-81A01,717,G,11,ナット,100,21.0
71811-81A10-N49,71811-81A10-CAF,718,G,1,"バンパ,リヤ(ブラック/プライマリー)","51,900",21.0
85101-81A10-DR1,,851,L,1,"クッションアッシ,フロントシート","42,500",
85301-81A10-DR1,,851,L,2,"バックアッシ,フロントシート","35,900",
86401-81A60-P5F,,851,L,5,ヘッドレストレイントアッシ(グレー),"9,700",
87101-81A11-DR1,,871,K,1,"クッションアッシ,リヤシート","22,500",
87301-81A60-DR1,,871,K,11,"バックアッシ,リヤシート,ライト","41,500",
87101-81A11-DR1,,871,K,28,"クッションアッシ,リヤシート","22,500",
87302-81A60-DR1,,871,K,38,"バックアッシ,リヤシート,レフト","41,500",
86401-81A60-P5F,,871,K,55,ヘッドレストレイントアッシ(グレー),"9,700",
86401-81A60-P5F,,871,K,56,ヘッドレストレイントアッシ(グレー),"9,700",
95400-81813,,950,C,22,クーリングユニット,0,
95311-81A00,,950,C,4,コンデンサ,"20,200",
95400-81812,,954,H,1,クーリングユニット,0,
20002-81A35,,200,H,1,"トランスミッションアッシ,オートマチック","366,000",
20002-81A35-111,,200,H,1,"トランスミッションアッシ,オートマチック","183,000",
34101-81A10,,341,N,1,"スピードメータアッシ,コンビネーション","55,700",
34120-81AK0,,341,N,2,"ボディアッシ,スピードメータ","17,100",
13110-67H00,13110-67H01,131,H,1,"マニホールド,インテーク","46,600",21.0
13400-67H01,,134,A,1,"ボディアッシ,スロットル","146,000",
13400-67H10,,134,A,1,"ボディアッシ,スロットル","146,000",
14111-65H21,,143,Q,1,"マニホールド,エキゾースト","29,300",
14111-67H01,,143,Q,1,"マニホールド,エキゾースト","28,300",
14190-67H00,,143,Q,12,"パイプ,エキゾースト","110,000",
14190-67H10,14190-67H11,143,Q,12,"パイプ,エキゾースト","110,000",21.0
14300-67H10,,143,Q,18,マフラ,"51,900",
14300-67H20,14300-67H2V,143,Q,18,マフラ,"51,900",21.0
18213-67H00,18213-67H01,143,Q,20,"センサアッシ,オキシジェン","25,000",21.0
18213-67H10,,143,Q,20,"センサ,オキシジェン","25,000",
14120-65H00,,143,Q,3,"カバー,エキゾーストマニホールド,アッパ","3,200",
14120-65H20,,143,Q,3,"カバー,エキゾーストマニホールド,アッパ","3,250",
14130-65H00,,143,Q,4,"カバー,エキゾーストマニホールド,ロア","3,500",
15100-67811,15100-67812,151,R,1,"ポンプセット,フューエル","93,200",21.0
15110-78A31,15110-78A33,151,R,2,"ポンプアッシ,フューエル","41,600",21.0
17700-67H01,17700-67H03,177,A,1,ラジエータアッシ,"74,200",3.0
　,17560-67H02,177,A,1,"キャップ,ウォータサーモスタツト","9,250",
24700-67H00,,225,G,1,"ケースアッシ,トランスミッション","74,600",
27102-67H00,,271,H,1,"シャフトアッシ,リヤプロペラ","28,700",
31100-78A00,31100-78A20,311,N,1,"モータアッシ,スターティング","88,800",21.0
31100-78A20,,311,N,1,"モータアッシ,スターティング","88,800",
31400-65H02,,314,K,1,ジェネレータアッシ,"53,700",
31400-65H20,31400-65H33,314,K,1,ジェネレータアッシ,"130,000",21.0
31400-65H30,31400-65H33,314,K,1,ジェネレータアッシ,"130,000",21.0
31100-78A20,,337,A,1,"モータアッシ,スターティング","88,800",
33400-76G01,33400-85K10,337,A,18,"コイルアッシ,イグニツシヨンDE","14,900",21.0
33400-76G30,33400-85K10,337,A,18,"コイルアッシ,イグニツシヨンDE","14,900",21.0
33920-67HC0,,337,A,20,"コントローラアッシ,インジェクション","132,000",
33920-67H00,,337,A,20,"コントローラアッシ,インジェクション","146,000",
31400-65H02,,337,A,5,ジェネレータアッシ,"53,700",
31400-65H20,31400-65H33,337,A,5,ジェネレータアッシ,"130,000",21.0
31400-65H30,31400-65H33,337,A,5,ジェネレータアッシ,"130,000",21.0
38885-67H10,38885-67H13,339,D,1,"コントローラアッシ,4WDシフト","28,500",21.0
13400-67H20,13400-67H21,134,A,1,"ボディアッシ,スロットル","140,000",21.0
18213-68H00,18213-68H01,143,Q,20,"センサ,オキシジェン","22,100",21.0
15100-68811,15100-68813,151,R,1,"ポンプセット,フューエル","81,700",21.0
15110-68H01,,151,R,2,"ポンプアッシ,フューエル","35,000",
17700-67H01,17700-67H03,177,A,1,ラジエータアッシ,"74,200",3.0
　,17560-67H02,177,A,1,"キャップ,ウォータサーモスタツト","9,250",
17700-67H02,17700-67H03,177,A,1,ラジエータアッシ,"74,200",21.0
31400-76J00,31400-76J04,314,A,1,ジェネレータアッシ,"132,000",21.0
33400-76G20,33400-85K10,337,A,18,"コイルアッシ,イグニツシヨンDE","14,900",21.0
33400-76G30,33400-85K10,337,A,18,"コイルアッシ,イグニツシヨンDE","14,900",21.0
33920-67HJ0,,337,A,20,"コントローラアッシ,インジェクション","109,000",
31400-76J00,31400-76J04,337,A,5,ジェネレータアッシ,"132,000",21.0
34100-67H40,,341,C,1,"スピードメータアッシ,コンビネーション","69,600",
39101-68H00,39101-68H10,391,J,1,"チューナアッシ,AMFM","36,200",21.0
55311-68H00,55311-82M11,551,H,14,"ディスク,フロントブレーキ","6,200",21.0
74150-75H00,74150-75H01,740,E,8,モータアッシ,"28,600",21.0
86401-67H10-JU8,,851,F,30,"ヘッドレストレイントアッシ,フロント(グレー)","4,800",
95200-58J20,95200-58J23,952,L,8,コンプレッサアッシ,"53,400",11.0
95200-58J20,95200-58J23,953,L,1,コンプレッサアッシ,"53,400",11.0
34100-67H40,,341,C,1,"スピードメータアッシ,コンビネーション","69,600",
34100-67H60,,341,C,1,"スピードメータアッシ,コンビネーション","57,400",
17700-67H11,17700-67H14,177,A,1,ラジエータアッシ,"76,300",3.0
　,17560-67H02,177,A,1,"キャップ,ウォータサーモスタツト","9,250",
20002-67H55,,200,G,1,"トランスミッションアッシ,オートマチック","261,000",
20002-67H55-111,,200,G,1,"トランスミッションアッシ,オートマチック","118,000",
24710-67HT1,24710-67HT2,202,F,1,"ケースセット,トランスミッション","60,500",21.0
27102-67H10,,271,H,1,"シャフトアッシ,リヤプロペラ","28,700",
31100-78A10,,311,P,1,"モータアッシ,スターティング","66,600",
31100-67H00,,311,Q,1,"モータアッシ,スターティング","84,700",
31100-71J10,,311,Q,1,"モータアッシ,スターティング","84,700",
31400-65H11,31400-65H12,314,L,1,ジェネレータアッシ,"153,000",21.0
31400-65H30,31400-65H33,314,L,1,ジェネレータアッシ,"130,000",21.0
31100-67H00,,337,A,1,"モータアッシ,スターティング","84,700",
31100-71J10,,337,A,1,"モータアッシ,スターティング","84,700",
31100-78A10,,337,A,1,"モータアッシ,スターティング","66,600",
33920-67HE0,,337,A,20,"コントローラアッシ,インジェクション","150,000",
33920-67H10,,337,A,20,"コントローラアッシ,インジェクション","165,000",
31400-65H11,31400-65H12,337,A,5,ジェネレータアッシ,"153,000",21.0
31400-65H30,31400-65H33,337,A,5,ジェネレータアッシ,"130,000",21.0
34100-67H13,,341,C,1,"スピードメータアッシ,コンビネーション","75,100",
34100-67H33,,341,C,1,"スピードメータアッシ,コンビネーション","46,500",
17700-67H11,17700-67H14,177,A,1,ラジエータアッシ,"76,300",3.0
　,17560-67H02,177,A,1,"キャップ,ウォータサーモスタツト","9,250",
17700-67H12,17700-67H14,177,A,1,ラジエータアッシ,"76,300",21.0
20002-67H70,,200,G,1,"トランスミッションアッシ,オートマチック","248,000",
20002-67H70-111,,200,G,1,"トランスミッションアッシ,オートマチック","102,000",
33920-67HK0,,337,A,20,"コントローラアッシ,インジェクション","150,000",
34100-67H50,,341,C,1,"スピードメータアッシ,コンビネーション","53,500",
34100-67H50,,341,C,1,"スピードメータアッシ,コンビネーション","53,500",
34100-67H70,,341,C,1,"スピードメータアッシ,コンビネーション","36,800",
